id,web_name,full_name,team_name,position,status,price,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bonus,yellow_cards,red_cards,penalties_missed,penalties_saved,own_goals,bps,influence,creativity,threat,ict_index,form,points_per_game,ep_this,ep_next,selected_pct,in_dreamteam,tackles,recoveries,clearances_blocks_interceptions
125,Janelt,Vitaly Janelt,Brentford,MID,a,4.9,10,145,0,0,0,2,0,0,0,0,0,0,0,30,22.8,38.0,16.0,7.6,1.8,1.4,1.8,1.8,0.0,False,6,11,6
438,Mazraoui,Noussair Mazraoui,Man Utd,DEF,a,4.9,10,200,0,0,1,2,0,1,1,0,0,0,0,44,41.4,16.9,8.0,6.6,0.2,2.0,0.2,0.2,0.2,False,10,13,8
18,Madueke,Noni Madueke,Arsenal,MID,i,6.8,10,304,0,0,2,2,0,0,0,0,0,0,0,39,30.2,111.7,105.0,24.6,0.0,2.0,0.0,0.0,0.6,False,3,10,1
499,Isak,Alexander Isak,Liverpool,FWD,a,10.4,10,250,0,1,0,3,0,0,0,0,0,0,0,19,21.8,21.5,50.0,8.7,0.5,2.5,0.4,1.0,4.6,False,2,8,1
180,Tzimas,Stefanos Tzimas,Brighton,FWD,a,5.3,10,84,0,1,0,2,0,0,0,0,0,0,0,28,28.4,61.2,25.0,11.5,1.0,1.4,1.0,1.0,0.1,False,2,6,1
724,Geertruida,Lutsharel Geertruida,Sunderland,DEF,a,4.5,10,337,0,0,0,4,0,0,0,0,0,0,0,56,73.8,18.4,22.0,11.5,1.5,1.2,0.5,1.5,0.0,False,8,18,17
405,Aké,Nathan Aké,Man City,DEF,a,5.3,10,201,0,0,1,3,0,0,0,0,0,0,0,42,37.4,24.9,13.0,7.6,1.5,2.0,1.5,2.0,0.6,False,3,3,10
55,Barkley,Ross Barkley,Aston Villa,MID,a,4.8,10,80,1,0,0,0,0,0,0,0,0,0,0,41,51.8,29.3,53.0,13.4,2.2,2.0,2.2,2.2,0.0,False,3,6,2
341,Darlow,Karl Darlow,Leeds,GKP,a,4.0,10,450,0,0,0,8,13,0,0,0,0,0,0,55,105.0,0.0,0.0,10.5,0.2,2.0,0.2,0.2,2.3,False,0,53,6
731,Kevin,Kevin Santos Lopes de Macedo,Fulham,MID,a,5.9,10,314,0,0,1,6,0,0,1,0,0,0,0,41,58.2,69.4,47.0,17.5,1.8,1.2,1.8,1.8,0.1,False,7,11,7
